SppName	Label	OttId	GbifId	ncbiId	Synonyms
Aotus nigriceps	Aotus_nigriceps_AOTIDAE_PRIMATES	685852	gbif:5219595	ncbi:57175	Aotus senex
Aotus trivirgatus	Aotus_trivirgatus_AOTIDAE_PRIMATES	791711	gbif:5219590	ncbi:9505	Cheirogaleus commersonii,Simia trivirgata,Nyctipithecus trivirgatus,Nyctipithecus duruculi,Nyctipithecus felinus
Aotus vociferans	Aotus_vociferans_AOTIDAE_PRIMATES	685855	gbif:5219597	ncbi:57176	Aotus microdon,Nyctipithecus oseryi,Nyctipithecus rufipes,Aotus gularis,Nyctipithecus spixi
Aotus zonalis	Aotus_zonalis_AOTIDAE_PRIMATES	298340	gbif:5786070	ncbi:1263727	Aotus lemurinus zonalis
Aplodontia rufa	Aplodontia_rufa_APLODONTIIDAE_RODENTIA	159158	gbif:2439690	ncbi:51342	Anisonyx rufa,Aplodontia nigra,Aplodontia humboldtiana,Aplodontia pacifica,Aplodontia olympica,Aplodontia chryseola,Aplodontia phaea
Apodemus agrarius	Apodemus_agrarius_MURIDAE_RODENTIA	351537	gbif:2437761	ncbi:39030	Apodemus pratensis,Apodemus agrarius volgensis,Apodemus agrarius caucasicus,Mus agrarius maculatus,Apodemus agrarius coreae,Apodemus agrarius pallidior,Apodemus agrarius insulaemus,Apodemus agrarius gloveri,Mus agrarius mantchuricus,Mus agrarius albostriatus,Mus agrarius,Apodemus agrarius tianschanicus,Apodemus agrarius nikolskii,Apodemus agrarius septentrionalis,Apodemus agrarius ognevi,Apodemus agrarius kahamanni,Apodemus agrarius karelicus,Apodemus agrarius henrici,Mus harti,Mus rubens,Mus ningpoensis
Apodemus alpicola	Apodemus_alpicola_MURIDAE_RODENTIA	1085351	gbif:2437769	ncbi:100381	Apodemus alpinus
Apodemus argenteus	Apodemus_argenteus_MURIDAE_RODENTIA	663824	gbif:5219736	ncbi:61837	Micromys geisha celatus,Apodemus geisha yakui,Apodemus geisha tanei,Micromys geisha hokkaidi,Apodemus geisha sagax,Micromys geisha
Apodemus chevrieri	Apodemus_chevrieri_MURIDAE_RODENTIA	588266	gbif:5219743	ncbi:129246	Apodemus fergussoni
Apodemus draco	Apodemus_draco_MURIDAE_RODENTIA	588269	gbif:5219737	ncbi:129247	Apodemus speciosus orestes,Mus argenteus,Mus badius,Apodemus ilex
Apodemus flavicollis	Apodemus_flavicollis_MURIDAE_RODENTIA	1088760	gbif:2437756	ncbi:54292	Sylvaemus flavicollis,Apodemus wintoni,Apodemus flavicollis samariensis,Apodemus flavicollis saturatus,Mus sylvaticus princeps,Mus flavicollis,Mus sylvaticus typicus,Mus sylvaticus fennicus,Apodemus flavicollis brauneri,Sylvaemus sylvaticus stankovici,Apodemus arianus,Apodemus brauneri,Mus sylvaticus wintoni,Apodemus samariensis,Apodemus parvus,Mus cellarius,Mus arianus,Apodemus cellarius,Mus erythronotus
Apodemus gurkha	Apodemus_gurkha_MURIDAE_RODENTIA	644322	gbif:5219738	ncbi:105298	
